date,brent_crude_usd,usdcny,us_indpro,us_mfg_emp,us_cfnai,us_mfg_orders,china_exports_usd,us_imports_china,china_cli,us_cli,bdry_etf,wci_composite,brent_crude_usd_lr,usdcny_lr,bdry_etf_lr,wci_composite_lr,china_exports_usd_lr,us_imports_china_lr,brent_crude_usd_lag1,brent_crude_usd_lag2,usdcny_lag1,usdcny_lag2,china_cli_lag1,china_cli_lag2,us_cli_lag1,us_cli_lag2,bdry_etf_lag1,bdry_etf_lag2,wci_composite_lag1,wci_composite_lag2,brent_crude_usd_ma3,bdry_etf_ma3,wci_composite_ma3,month
2022-09-01,89.7647619047619,7.019514285714285,101.2918,12849.0,0.0,591853.0,305905200000.0,267196000000.00003,97.43187,99.1389,9.322380974179222,3900,-0.11243139798177272,0.03167167412132749,-0.05531819960778358,-0.2484613592984996,0.007863985935538843,-0.0011670009403673656,100.44636363636364,111.92571428571429,6.8006782608695655,6.735155000000001,97.38782,97.43202,99.31291,99.52975,9.8526087221892,14.642000007629395,5000.0,6100.0,100.71227994227995,11.272329901332606,5000.0,9
2022-10-01,93.33190476190477,7.190185,101.2529,12883.0,0.04,599595.0,301723900000.0,269935999999.99997,97.57428,98.99746,8.880000000908261,3100,0.03896951637070765,0.024022876007960093,-0.04861650829694074,-0.22957444164450025,-0.013762889238216886,0.010202422373060764,89.7647619047619,100.44636363636364,7.019514285714285,6.8006782608695655,97.43187,97.38782,99.1389,99.31291,9.322380974179222,9.8526087221892,3900.0,5000.0,94.51434343434344,9.351663232425564,4000.0,10
2022-11-01,91.41545454545455,7.18118,100.9552,12896.0,-0.6,584264.0,281209500000.0,254052000000.0,97.82653,98.88798,7.603333314259847,2700,-0.0207474571644556,-0.0012531866219403632,-0.15521481198674242,-0.13815033848081718,-0.0704124176438121,-0.06064592338881571,93.33190476190477,89.7647619047619,7.190185,7.019514285714285,97.57428,97.43187,98.99746,99.1389,8.880000000908261,9.322380974179222,3100.0,3900.0,91.5040404040404,8.601904763115778,3233.3333333333335,11
2022-12-01,80.924,6.971695238095238,99.7664,12895.0,-0.46,593382.0,280118000000.0,259539000000.0,98.16623,98.82414,9.076666491372245,2400,-0.121904108481928,-0.02960530052246258,0.17712025358529768,-0.11778303565638351,-0.003889000185035654,0.021368009856218187,91.41545454545455,93.33190476190477,7.18118,7.190185,97.82653,97.57428,98.88798,98.99746,7.603333314259847,8.880000000908261,2700.0,3100.0,88.55711976911978,8.519999935513454,2733.3333333333335,12
2023-01-01,82.50142857142858,6.790405,100.505,12903.0,0.56,593201.0,281026600000.0,264144000000.0,98.56067,98.80579,8.885249900817872,2200,0.019305166592863555,-0.026347828107494902,-0.021314411346633567,-0.08701137698962981,0.0032383838106982334,0.01758742865449135,80.924,91.41545454545455,6.971695238095238,7.18118,98.16623,97.82653,98.82414,98.88798,9.076666491372245,7.603333314259847,2400.0,2700.0,84.94696103896105,8.52174990214999,2433.3333333333335,1
2023-02-01,82.58500000000001,6.838042105263158,100.6416,12898.0,-0.43,582578.0,296004700000.0,258962000000.0,98.99181,98.81053,7.313157884698165,2000,0.0010124567650228893,0.006990862407981568,-0.1947174117088968,-0.0953101798043249,0.0519260058010817,-0.019813076196853286,82.50142857142858,80.924,6.790405,6.971695238095238,98.56067,98.16623,98.80579,98.82414,8.885249900817872,9.076666491372245,2200.0,2400.0,82.0034761904762,8.425024758962763,2200.0,2
2023-03-01,78.43434782608696,6.890930434782609,101.0205,12888.0,-0.41,584931.0,321312700000.0,253489000000.0,99.41463,98.83885,9.679565180902896,1900,-0.05156612453224877,0.007704668502221436,0.28034180530198405,-0.05129329438755058,0.08203945968614587,-0.021360903203834485,82.58500000000001,82.50142857142858,6.838042105263158,6.790405,98.99181,98.56067,98.81053,98.80579,7.313157884698165,8.885249900817872,2000.0,2200.0,81.17359213250519,8.625990988806313,2033.3333333333333,3
2023-04-01,84.63833333333334,6.8875649999999995,101.253,12884.0,0.04,583953.0,306344900000.0,259147000000.0,99.79827,98.90636,9.285789489746094,1700,0.0761253352339734,-0.0004885054199808236,-0.04153176124810812,-0.11122563511022437,-0.047703200854699375,0.022075038676726624,78.43434782608696,82.58500000000001,6.890930434782609,6.838042105263158,99.41463,98.99181,98.83885,98.81053,9.679565180902896,7.313157884698165,1900.0,2000.0,81.88589371980676,8.759504185115722,1866.6666666666667,4
2023-05-01,75.466,6.985359090909091,100.9286,12869.0,-0.18,581399.0,281172600000.0,253231000000.0,100.1547,99.01009,7.546818148006093,1600,-0.11470505297514108,0.014098788429612244,-0.20735918262219258,-0.060624621816434854,-0.08574287576366404,-0.023093352626421607,84.63833333333334,78.43434782608696,6.8875649999999995,6.890930434782609,99.79827,99.41463,98.90636,98.83885,9.285789489746094,9.679565180902896,1700.0,1900.0,79.51289371980677,8.837390939551698,1733.3333333333333,5
2023-06-01,74.83909090909091,7.161366666666667,100.1196,12875.0,-0.41,596374.0,274974500000.0,251577000000.0,100.4944,99.1379,6.105238119761149,1500,-0.008341869493515246,0.02488443774028624,-0.2119789262231587,-0.06453852113757118,-0.022290349549756394,-0.006553009931801326,75.466,84.63833333333334,6.985359090909091,6.8875649999999995,100.1547,99.79827,99.01009,98.90636,7.546818148006093,9.285789489746094,1600.0,1700.0,78.31447474747475,7.645948585837782,1600.0,6
2023-07-01,80.10809523809523,7.186275,100.9067,12862.0,0.13,586852.0,277525100000.0,254491000000.0,100.8059,99.25793,4.922500014305115,1450,0.06803655890756273,0.003472118824232707,-0.21533057642069936,-0.03390155167568134,0.009233013452139591,0.011516366204186572,74.83909090909091,75.466,7.161366666666667,6.985359090909091,100.4944,100.1547,99.1379,99.01009,6.105238119761149,7.546818148006093,1500.0,1600.0,76.80439538239538,6.191518760690788,1516.6666666666667,7
2023-08-01,86.14772727272727,7.248621739130435,100.8393,12861.0,-0.17,589655.0,275695600000.0,253943000000.0,101.068,99.35322,5.1069565026656445,1400,0.07268666846441263,0.008638389031619115,0.03678709599320831,-0.03509131981127006,-0.006614021020278913,-0.0021556395213656403,80.10809523809523,74.83909090909091,7.186275,7.161366666666667,100.8059,100.4944,99.25793,99.1379,4.922500014305115,6.105238119761149,1450.0,1500.0,80.36497113997113,5.378231545577305,1450.0,8
2023-09-01,93.72238095238096,7.29794,101.0211,12872.0,-0.03,603929.0,288158500000.0,256709999999.99997,101.2806,99.42229,5.361500024795532,1350,0.0842734366937796,0.006780770703109555,0.04864016087238234,-0.03636764417087483,0.04421331744641086,0.010837210711923433,86.14772727272727,80.10809523809523,7.248621739130435,7.186275,101.068,100.8059,99.35322,99.25793,5.1069565026656445,4.922500014305115,1400.0,1450.0,86.65940115440115,5.130318847255432,1400.0,9
2023-10-01,90.59590909090909,7.307109523809523,100.4689,12837.0,-0.51,584930.0,277200300000.0,259091999999.99997,101.4661,99.48032,5.586818196556785,1300,-0.03392795976436899,0.0012556650354892715,0.041166138203875734,-0.037740327982847086,-0.03877032640643132,0.009236167883704028,93.72238095238096,86.14772727272727,7.29794,7.248621739130435,101.2806,101.068,99.42229,99.35322,5.361500024795532,5.1069565026656445,1350.0,1400.0,90.15533910533911,5.351758241339323,1350.0,10
